model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_3_20251118_150145_model_10,0.8081822456707652,0.8387269337171845,0.5018149017794804,0.2393963905410316,0.4098589867443969,0.1679843890151437
GBM_grid_1_AutoML_3_20251118_150145_model_5,0.8080215677106126,0.8390441536559112,0.4926234353456548,0.2403958594722136,0.4048528905041593,0.1639058629495728
GLM_1_AutoML_3_20251118_150145,0.8078169636825618,0.8455662214388986,0.4775477780652123,0.247033573627976,0.3973365643162215,0.1578763453426188
XGBoost_grid_1_AutoML_3_20251118_150145_model_3,0.8067018916320278,0.8441403468874328,0.4871950937369714,0.2419864816496992,0.4024331845513886,0.161952468028172
GBM_1_AutoML_3_20251118_150145,0.8057914968679202,0.8368294287069185,0.5018073876090865,0.2449764895446637,0.4094017720942612,0.1676098109939214
XGBoost_grid_1_AutoML_3_20251118_150145_model_12,0.7963620789533233,0.8290598014500375,0.6022397440365267,0.2652792116923009,0.4472802894267576,0.200059657309684
XGBoost_grid_1_AutoML_3_20251118_150145_model_2,0.7958535642271071,0.8313119984080855,0.5889096956590888,0.2489840563062164,0.4411126475009478,0.1945803677852954
XGBoost_grid_1_AutoML_3_20251118_150145_model_4,0.7957772108434314,0.829877078888916,0.5918948425161134,0.2448110958495231,0.4427760021473938,0.1960505880776288
GBM_grid_1_AutoML_3_20251118_150145_model_3,0.795118984763822,0.8300818828004772,0.5318816270389848,0.2307125754770254,0.4229174558691687,0.1788591744788502
GBM_grid_1_AutoML_3_20251118_150145_model_8,0.7948488688070313,0.8266880817044855,0.5694441709407162,0.2662231186790217,0.4410037413906295,0.1944842999205332
GBM_grid_1_AutoML_3_20251118_150145_model_9,0.7925863245381698,0.8221914406178489,0.538629302099878,0.2625314797179526,0.4264993219135866,0.1819016715927492
XGBoost_grid_1_AutoML_3_20251118_150145_model_7,0.7911410517605251,0.829411909121333,0.517634283480176,0.244579803103975,0.4166051540526486,0.173559854383231
XGBoost_grid_1_AutoML_3_20251118_150145_model_11,0.7910888018699206,0.8312499757724077,0.6565611120889278,0.239187064145619,0.4632877032919765,0.2146354960215545
XGBoost_grid_1_AutoML_3_20251118_150145_model_13,0.7897564869201734,0.8321654557177758,0.5544294230235042,0.2365239672262059,0.4304894355826673,0.1853211541482834
GBM_2_AutoML_3_20251118_150145,0.7896730601784132,0.82367029283729,0.5774115606943262,0.244451235348768,0.4466860095516421,0.1995283911291697
XRT_1_AutoML_3_20251118_150145,0.7878754711050729,0.8177826649317558,0.6248163945356414,0.2408474617882421,0.4700249789592202,0.2209234808456153
XGBoost_grid_1_AutoML_3_20251118_150145_model_6,0.7872996290321274,0.8186619650063122,0.5648436336031056,0.2575063540898118,0.4341532250755007,0.1884890228434583
GBM_5_AutoML_3_20251118_150145,0.7846217654654797,0.8188047462821952,0.5936454265560714,0.2473016923134576,0.4499663896241448,0.2024697517913876
GBM_3_AutoML_3_20251118_150145,0.7842416533917826,0.8152707481868071,0.6340109541524405,0.2487598703210061,0.4668778292368808,0.217974907432942
XGBoost_grid_1_AutoML_3_20251118_150145_model_8,0.7818809415799058,0.8212811292254536,0.5922827702635762,0.2500455478730762,0.4405596584338963,0.1940928126393913
GBM_grid_1_AutoML_3_20251118_150145_model_2,0.7810131284470028,0.817581091365803,0.7246044370294513,0.2526976616174215,0.4974452047916565,0.2474517317702131
GBM_4_AutoML_3_20251118_150145,0.7804612606433607,0.8030884688291026,0.7543032490893921,0.2505010266038346,0.4986553996948872,0.2486572076448677
XGBoost_grid_1_AutoML_3_20251118_150145_model_10,0.7795127416704959,0.827182324582542,0.7775132581635072,0.2444622185238358,0.507407878668887,0.25746275533526
XGBoost_grid_1_AutoML_3_20251118_150145_model_14,0.7779629473045799,0.8241897324110911,0.7355711520102486,0.2490170058314202,0.4926462595493367,0.2427003370479525
XGBoost_grid_1_AutoML_3_20251118_150145_model_5,0.7776991689634457,0.8229059930663858,0.6018176142950716,0.2518015637457023,0.4483744232650171,0.2010396234382367
XGBoost_3_AutoML_3_20251118_150145,0.7760437582616696,0.8175003327255973,0.6705625077457903,0.2433639010170423,0.4724105844470238,0.2231717602975786
GBM_grid_1_AutoML_3_20251118_150145_model_7,0.7744955620294743,0.8089928945317999,0.8714241785965317,0.2451121640602088,0.5355433078750126,0.2868066346097105
GBM_grid_1_AutoML_3_20251118_150145_model_4,0.7743696404130745,0.8085122191052974,0.6730081765874114,0.25544539359177,0.4864482471665813,0.2366318971714394
DeepLearning_grid_1_AutoML_3_20251118_150145_model_1,0.7737021310164138,0.8064286461879983,0.8086711945287179,0.2777393007723114,0.4967899565832873,0.2468002609620244
XGBoost_2_AutoML_3_20251118_150145,0.770163341493374,0.8062109208940044,0.8582106380462945,0.2595963876983275,0.5123651395467119,0.2625180362227216
GBM_grid_1_AutoML_3_20251118_150145_model_1,0.7699122973606884,0.806630865823072,0.6718147236009975,0.2393266150758941,0.4825975520673106,0.2329003972613605
XGBoost_1_AutoML_3_20251118_150145,0.7695248241492422,0.8223083791288665,0.6736871223987516,0.2706570910608588,0.4676732853552667,0.2187183018349887
XGBoost_grid_1_AutoML_3_20251118_150145_model_1,0.766264224911559,0.8185883131264446,1.1619372114169284,0.2341289889922747,0.5795274571588193,0.3358520736009671
DRF_1_AutoML_3_20251118_150145,0.7649740208816052,0.7903350643678666,1.6879624622221758,0.2815814738387234,0.5799614375329241,0.3363552690252557
XGBoost_grid_1_AutoML_3_20251118_150145_model_15,0.7619792058186184,0.8036918973887175,1.2978998077207855,0.2665500296545731,0.5871515996391162,0.3447470009587731
XGBoost_grid_1_AutoML_3_20251118_150145_model_9,0.759542040481895,0.7999912134599452,1.3624592933349364,0.267953291786782,0.5975734241381402,0.3570939972361815
DeepLearning_1_AutoML_3_20251118_150145,0.7589225549759873,0.7681897530853029,0.93191338510075,0.3101196390799463,0.5133306696725954,0.2635083764265152
GBM_grid_1_AutoML_3_20251118_150145_model_6,0.7556030632826014,0.7932927688067495,0.5833431214686109,0.2663885123741624,0.4515665056075304,0.2039123089865957
