model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
GLM_1_AutoML_4_20251118_150648,0.8077179600368293,0.8455365022593035,0.4776193115888012,0.2478637724492875,0.3973588066080928,0.1578940211890077
GBM_1_AutoML_4_20251118_150648,0.8054915642239334,0.8413706485629485,0.4964945440650446,0.2344190740278924,0.406269797458013,0.1650551483265749
XGBoost_grid_1_AutoML_4_20251118_150648_model_3,0.8042233271370708,0.8381454715077057,0.4958720922772265,0.2436100533523885,0.4093170490253754,0.1675404466228416
GBM_grid_1_AutoML_4_20251118_150648_model_5,0.802017711478539,0.8407943549064427,0.4933587945508199,0.2340592135271371,0.4037160873797757,0.1629866792092347
GBM_grid_1_AutoML_4_20251118_150648_model_3,0.8018479084846285,0.8294513193377535,0.5331247755467126,0.2350031205138579,0.423922939577196,0.179710658699771
GBM_grid_1_AutoML_4_20251118_150648_model_9,0.8016898661130258,0.828216035177172,0.5315369408917325,0.2528301057873585,0.423876939571201,0.1796716599002476
GBM_grid_1_AutoML_4_20251118_150648_model_10,0.8014185551999101,0.8297498032719526,0.5136595142939785,0.2475917773490754,0.4148571577347552,0.1721064613237595
XGBoost_grid_1_AutoML_4_20251118_150648_model_13,0.7965139424910325,0.8342238319393311,0.5454913926812532,0.2432204736720376,0.4277625687027682,0.1829808151831904
XGBoost_grid_1_AutoML_4_20251118_150648_model_4,0.7957772108434314,0.829877078888916,0.5918948425161134,0.2448110958495231,0.4427760021473938,0.1960505880776288
XRT_1_AutoML_4_20251118_150648,0.795507842572577,0.8296296344153263,0.6323050511600723,0.2569074480140486,0.4731581750090232,0.2238786585778694
XGBoost_grid_1_AutoML_4_20251118_150648_model_7,0.7953027360095315,0.8356064198596479,0.5150267614310596,0.2477461878691481,0.4138407002807922,0.1712641252088965
XGBoost_grid_1_AutoML_4_20251118_150648_model_11,0.7919481878017044,0.8308700871288813,0.6589583574674274,0.2576568881951547,0.4625523219988525,0.2139546505865301
XGBoost_grid_1_AutoML_4_20251118_150648_model_12,0.7917938475775566,0.8269949645372658,0.6097355190580597,0.2342317139826158,0.4485243034467667,0.2011740507824072
XGBoost_grid_1_AutoML_4_20251118_150648_model_2,0.7912457663975689,0.82691808231179,0.6002354088357917,0.2408254954381062,0.4449634057455148,0.1979924324526476
GBM_grid_1_AutoML_4_20251118_150648_model_8,0.7890639811963582,0.8217934620389168,0.6274209543656535,0.2634275775896714,0.4639685857625366,0.2152668485744883
GBM_5_AutoML_4_20251118_150648,0.7886573572453492,0.8129029048559845,0.5777884866176413,0.2505527121335661,0.4464066782000192,0.1992789223415754
XGBoost_grid_1_AutoML_4_20251118_150648_model_5,0.7863645139277338,0.8296968256039775,0.5869106847525191,0.2549679485108757,0.4393798981583746,0.1930546949056636
XGBoost_grid_1_AutoML_4_20251118_150648_model_8,0.7843858156482951,0.8252686678442352,0.5540779695139983,0.2450352818347333,0.4292733393888136,0.1842755999100235
XGBoost_grid_1_AutoML_4_20251118_150648_model_14,0.783705610442286,0.8251717574759886,0.758565811972543,0.2351316882690648,0.4978798630245111,0.2478843580053059
GBM_2_AutoML_4_20251118_150648,0.783239495967244,0.8152959448825509,0.592413222347054,0.2488774549011453,0.449807355031793,0.2023266566406974
XGBoost_1_AutoML_4_20251118_150648,0.7822122911867715,0.8203598346579903,0.6686761938316463,0.2503614756735596,0.4666504129568526,0.2177626079128011
XGBoost_grid_1_AutoML_4_20251118_150648_model_10,0.7796822047467707,0.8206731781819869,0.79621289385077,0.2579618328205701,0.5092031072809088,0.2592878044645327
GBM_3_AutoML_4_20251118_150648,0.778509796175076,0.804283050635021,0.6658585082493024,0.2753992384137199,0.474397435161838,0.2250529264881303
XGBoost_grid_1_AutoML_4_20251118_150648_model_6,0.7773510843094281,0.8188086226969249,0.564734179509287,0.2523048515914625,0.429298869776961,0.1842975195917761
GBM_grid_1_AutoML_4_20251118_150648_model_2,0.775170925231397,0.8088998605782832,0.736604719540816,0.2547069365857318,0.4998943911993202,0.249894402352539
GBM_grid_1_AutoML_4_20251118_150648_model_1,0.7746376389225937,0.8073790138659356,0.6865883272556482,0.2348157604685814,0.486395207350507,0.2365802977335428
GBM_grid_1_AutoML_4_20251118_150648_model_7,0.7722804027674225,0.8052075755480924,0.854968345727753,0.2531201908229761,0.5354297039585522,0.2866849678811428
GBM_4_AutoML_4_20251118_150648,0.7719301327396948,0.7947961716528129,0.7167578853162471,0.2832050455414128,0.4945119510018408,0.244542069683647
DeepLearning_1_AutoML_4_20251118_150648,0.7714052141461548,0.8057386443660831,0.8032407185250361,0.2580606813961815,0.48724167317427,0.2374044480776621
DRF_1_AutoML_4_20251118_150648,0.771106344399211,0.797183397057284,1.5789969092347609,0.2582629010312557,0.579921180559831,0.3363085756619081
XGBoost_3_AutoML_4_20251118_150648,0.7686870850380281,0.8137666992716215,0.6960796934908409,0.253263618167981,0.4773439544707922,0.2278572508698137
XGBoost_grid_1_AutoML_4_20251118_150648_model_1,0.7654011642432781,0.8168665389172654,1.1954354498091906,0.2410936141235882,0.580873377894058,0.3374138811460531
GBM_grid_1_AutoML_4_20251118_150648_model_6,0.7649843993398646,0.7988373340086906,0.5960955575164487,0.2515076022953546,0.4537656891080308,0.205903300611686
XGBoost_2_AutoML_4_20251118_150648,0.7649792806843592,0.8180436768568994,0.8417138582566493,0.2587442225268802,0.5149778079878231,0.2652021427199432
DeepLearning_grid_1_AutoML_4_20251118_150648_model_1,0.764498088162228,0.7792226754756038,1.5003456053823638,0.3265582218110353,0.5385112234108824,0.2899943377394853
